valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 2.650.000;Edifício Residencial Infinity Areia Preta - 04 suítes;17/01 às 11:09;Profissional;"['""4 quartos', '282m²', '4 vagas"">4 quartos', '282m²', '4 vagas']"
R$ 650.000;Apartamento com 3 dormitórios à venda, 144 m² por R$ 650.000,00 - Tirol - Natal/RN;17/01 às 11:05;Profissional;"['""3 quartos', '144m²', 'Condomínio: R$ 1.040', '3 vagas"">3 quartos', '144m²', 'Condomínio: R$ 1.040', '3 vagas']"
R$ 570.000;Apartamento 4 quartos - no Coração de Lagoa Nova;17/01 às 10:52;Profissional;"['""4 quartos', '150m²', 'Condomínio: R$ 700', '2 vagas"">4 quartos', '150m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 450.000;Flat Beira Mar Ponta Negra;17/01 às 10:50;Profissional;"['""1 quarto', '70m²', 'Condomínio: R$ 1.200', '1 vaga"">1 quarto', '70m²', 'Condomínio: R$ 1.200', '1 vaga']"
R$ 370.000;Apartamento à venda em Lagoa Nova (Natal/RN) | Laguna Residence | 100m² 3 Quartos;17/01 às 10:44;Profissional;"['""3 quartos', '100m²', '2 vagas"">3 quartos', '100m²', '2 vagas']"
R$ 500.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:6060;17/01 às 10:24;Profissional;"['""3 quartos', '90m²', 'Condomínio: R$ 670', '1 vaga"">3 quartos', '90m²', 'Condomínio: R$ 670', '1 vaga']"
R$ 115.034;Apartamento no Planalto 2/4 - 43m²/64m² - Jardim Privativo - Documentação Grátis;17/01 às 10:15;Profissional;"['""2 quartos', '44m²"">2 quartos', '44m²']"
R$ 590.000;Belíssimo 3 suítes px a praça Augusto Leite no Tirol, Ed. Maria Godeiro;17/01 às 09:59;Profissional;"['""3 quartos', '198m²', 'Condomínio: R$ 1.150', '3 vagas"">3 quartos', '198m²', 'Condomínio: R$ 1.150', '3 vagas']"
R$ 280.000;Apartamento com 3 dormitórios à venda, 102 m² por R$ 280.000 - Tirol - Natal/RN;17/01 às 09:49;Profissional;"['""3 quartos', '102m²', 'Condomínio: R$ 480', '1 vaga"">3 quartos', '102m²', 'Condomínio: R$ 480', '1 vaga']"
R$ 480.000;In mari o melhor resort do RN em Cotovelo;17/01 às 09:48;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 480', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 480', '1 vaga']"
R$ 530.000;Residencial Ibiza em Capim Macio;17/01 às 09:44;Profissional;"['""3 quartos', 'Condomínio: R$ 650', '2 vagas"">3 quartos', 'Condomínio: R$ 650', '2 vagas']"
R$ 155.200;Apartamento de 2 quartos com área de lazer completa - Planalto;17/01 às 09:44;Profissional;"['""2 quartos', '45m²', '1 vaga"">2 quartos', '45m²', '1 vaga']"
R$ 410.000;Residencial Kopenhagen;17/01 às 09:43;Profissional;"['""4 quartos', '106m²', 'Condomínio: R$ 1', '2 vagas"">4 quartos', '106m²', 'Condomínio: R$ 1', '2 vagas']"
R$ 190.000;Oportunidade Royal Park;17/01 às 09:42;Profissional;"['""2 quartos', '53m²', '1 vaga"">2 quartos', '53m²', '1 vaga']"
R$ 1.350.000;Apartamento à venda com 4 dormitórios em Lagoa nova, Natal cod:8854;17/01 às 08:57;Profissional;"['""4 quartos', '166m²', 'Condomínio: R$ 980', '3 vagas"">4 quartos', '166m²', 'Condomínio: R$ 980', '3 vagas']"
R$ 574.575;Apartamento com 3 dormitórios à venda, 79 m² por R$ 574.575,83 - Ponta Negra - Natal/RN;17/01 às 08:54;Profissional;"['""3 quartos', '79m²', 'Condomínio: R$ 497', '2 vagas"">3 quartos', '79m²', 'Condomínio: R$ 497', '2 vagas']"
R$ 499.000;Vendo apartamento de 03 quartos no Parque Cidade Jardim;17/01 às 08:07;Profissional;"['""3 quartos', '92m²', 'Condomínio: R$ 400', '2 vagas"">3 quartos', '92m²', 'Condomínio: R$ 400', '2 vagas']"
R$ 180.000;Apartamento 02 quartos sendo 01 suite Capim Macio Natal RN;17/01 às 08:05;Profissional;"['""2 quartos', '0m²', '1 vaga"">2 quartos', '0m²', '1 vaga']"
R$ 280.000;Flat no Othon Suites - Petrópolis - Vista Mar Frontal - Mobiliado - no Pool;17/01 às 08:05;Profissional;"['""1 quarto', '44m²', 'Condomínio: R$ 1.300', '1 vaga"">1 quarto', '44m²', 'Condomínio: R$ 1.300', '1 vaga']"
R$ 89.990;Apartamento no vilagio veritá;17/01 às 01:18;17/01 às 01:18<!-- --> ;"['""2 quartos', '55m²', 'Condomínio: R$ 220', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 220', '1 vaga']"
R$ 465.000;3/4 em candelária;17/01 às 01:14;17/01 às 01:14<!-- --> ;"['""3 quartos', '105m²', 'Condomínio: R$ 800', '2 vagas"">3 quartos', '105m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 15.000; Apartamento: 15 mil reais ;17/01 às 01:10;17/01 às 01:10<!-- --> ;"['""2 quartos"">2 quartos']"
R$ 1.800.000;PORTO ATLÂNTICO - 4 SUÍTES - AREIA PRETA;17/01 às 00:30;Profissional;"['""4 quartos', '280m²', 'Condomínio: R$ 1.815', '4 vagas"">4 quartos', '280m²', 'Condomínio: R$ 1.815', '4 vagas']"
R$ 550.000;Apartamento à venda com 3 dormitórios em Lagoa nova, Natal cod:822322;16/01 às 23:43;Profissional;"['""3 quartos', '224m²', 'Condomínio: R$ 1.200', '2 vagas"">3 quartos', '224m²', 'Condomínio: R$ 1.200', '2 vagas']"
R$ 330.000;Apartamento Reformado no Paradise Flat Ponta Negra;16/01 às 22:49;Profissional;"['""2 quartos', '53m²', '1 vaga"">2 quartos', '53m²', '1 vaga']"
R$ 315.000; últimas unidade mobiliada abaixo do valor de mercado ;16/01 às 22:44;Profissional;"['""2 quartos', '1 vaga"">2 quartos', '1 vaga']"
R$ 371.964;Apartamento com 3 dormitórios à venda, 70 m² - Nossa Senhora de Nazaré Natal/RN - AP0139;16/01 às 22:41;Profissional;"['""3 quartos', '70m²', 'Condomínio: R$ 350"">3 quartos', '70m²', 'Condomínio: R$ 350']"
R$ 258.200;Apartamento com 1 suíte em Lagoa Nova;16/01 às 22:39;Profissional;"['""1 quarto', '39m²', '1 vaga"">1 quarto', '39m²', '1 vaga']"
R$ 120.000;Apartamento com 2 dormitórios à venda - 65m² - Capim Macio - Natal/RN;16/01 às 22:38;Profissional;"['""2 quartos', '65m²', 'Condomínio: R$ 350"">2 quartos', '65m²', 'Condomínio: R$ 350']"
R$ 110.000;Condomínio Solar das Estações - 2 quartos - Planalto/RN.;16/01 às 22:29;Profissional;"['""2 quartos', '20m²', 'Condomínio: R$ 250', '1 vaga"">2 quartos', '20m²', 'Condomínio: R$ 250', '1 vaga']"
R$ 480.000;Saint Charbel a venda!!! varanda estendida gourmet ;16/01 às 22:20;Profissional;"['""4 quartos', '108m²', '2 vagas"">4 quartos', '108m²', '2 vagas']"
R$ 300.000;Belo apartamento em Lagoa Nova.;16/01 às 22:15;Profissional;"['""2 quartos', '58m²', 'Condomínio: R$ 550', '1 vaga"">2 quartos', '58m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 410.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:822321;16/01 às 22:11;Profissional;"['""3 quartos', '104m²', 'Condomínio: R$ 1.300', '2 vagas"">3 quartos', '104m²', 'Condomínio: R$ 1.300', '2 vagas']"
R$ 149.916;Apartamento em Ponta Negra - 2/4 - 48m² - Para Julho/21 - Praia de Pipa - Doc Grátis;16/01 às 22:08;Profissional;"['""2 quartos', '48m²"">2 quartos', '48m²']"
R$ 500.000;Preço de Oportunidade Saint Charbel. Seu 4/4 ;16/01 às 22:07;Profissional;"['""4 quartos', '108m²', '2 vagas"">4 quartos', '108m²', '2 vagas']"
R$ 525.001;Apartamento 3 quartos em Petrópolis, Natal RN;16/01 às 22:02;Profissional;"['""3 quartos', '97m²', 'Condomínio: R$ 450', '2 vagas"">3 quartos', '97m²', 'Condomínio: R$ 450', '2 vagas']"
R$ 178.000;Apartamento em Cidade Satélite - 2/4 Suíte - 55m² - Green Park Satélite;16/01 às 22:01;Profissional;"['""2 quartos', '58m²"">2 quartos', '58m²']"
R$ 178.000;Apartamento à venda com 3 dormitórios em Lagoa nova, Natal cod:10965;16/01 às 21:56;Profissional;"['""3 quartos', '149m²', 'Condomínio: R$ 450', '2 vagas"">3 quartos', '149m²', 'Condomínio: R$ 450', '2 vagas']"
R$ 900.000;Apartamento à venda com 3 dormitórios em Ponta negra, Natal cod:820735;16/01 às 21:56;Profissional;"['""3 quartos', '110m²', 'Condomínio: R$ 718', '2 vagas"">3 quartos', '110m²', 'Condomínio: R$ 718', '2 vagas']"
R$ 605.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:8112;16/01 às 21:55;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 400', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 400', '2 vagas']"
R$ 800.000;Capim Macio - 4/4 sendo 3 suítes - 240m²;16/01 às 21:53;Profissional;"['""4 quartos', '240m²', '3 vagas"">4 quartos', '240m²', '3 vagas']"
R$ 400.000;Apartamento com 3 dormitórios à venda, 145 m² por R$ 400.000,00 - Tirol - Natal/RN;16/01 às 21:42;Profissional;"['""3 quartos', '145m²', 'Condomínio: R$ 1.000', '2 vagas"">3 quartos', '145m²', 'Condomínio: R$ 1.000', '2 vagas']"
R$ 199.000;Lindo AP 3/4sts Ponta negra 95m2 TOP localização ;16/01 às 21:34;16/01 às 21:34<!-- --> ;"['""3 quartos', '95m²', 'Condomínio: R$ 280', '2 vagas"">3 quartos', '95m²', 'Condomínio: R$ 280', '2 vagas']"
R$ 130.000;Apartamento thisaliah;16/01 às 21:33;16/01 às 21:33<!-- --> ;"['""2 quartos', '68m²', 'Condomínio: R$ 175', '1 vaga"">2 quartos', '68m²', 'Condomínio: R$ 175', '1 vaga']"
R$ 430.000;"Apartamento em ""Capim Macio"" no lado da sombra";16/01 às 21:32;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 930', '3 vagas"">3 quartos', '98m²', 'Condomínio: R$ 930', '3 vagas']"
R$ 500.000;Apartamento residencial à venda, Lagoa Nova, Natal.;16/01 às 21:25;Profissional;"['""3 quartos', '150m²', 'Condomínio: R$ 1.200', '3 vagas"">3 quartos', '150m²', 'Condomínio: R$ 1.200', '3 vagas']"
R$ 166.000;Lançamento Minha Casa Minha Vida, 2 quartos em Ponta Negra - Natal - RN;16/01 às 21:12;Profissional;"['""2 quartos', 'Condomínio: R$ 150', '1 vaga"">2 quartos', 'Condomínio: R$ 150', '1 vaga']"
R$ 400.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:10197;16/01 às 21:02;Profissional;"['""3 quartos', '160m²', 'Condomínio: R$ 1.600', '2 vagas"">3 quartos', '160m²', 'Condomínio: R$ 1.600', '2 vagas']"
R$ 290.000;Apartamento à venda com 2 dormitórios em Ponta negra, Natal cod:11021;16/01 às 21:02;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 315', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 315', '1 vaga']"
R$ 175.000;Sun Gardens ;16/01 às 20:58;16/01 às 20:58<!-- --> ;"['""2 quartos', '58m²', 'Condomínio: R$ 380', '2 vagas"">2 quartos', '58m²', 'Condomínio: R$ 380', '2 vagas']"
R$ 100.000;Apartamento com vista para praia à venda - 46m² - Praia do Meio - Natal/RN;16/01 às 20:36;Profissional;"['""1 quarto', '46m²', 'Condomínio: R$ 300', '1 vaga"">1 quarto', '46m²', 'Condomínio: R$ 300', '1 vaga']"
R$ 188.000;Apartamento à venda com 2 dormitórios em Zona norte, Natal cod:820956;16/01 às 20:34;Profissional;"['""2 quartos', '53m²', 'Condomínio: R$ 245', '2 vagas"">2 quartos', '53m²', 'Condomínio: R$ 245', '2 vagas']"
R$ 260.000;Apartamento com 3 dormitórios à venda, 67 m² por R$ 260.000,00 - Lagoa Nova - Natal/RN;16/01 às 20:19;Profissional;"['""3 quartos', '67m²', '1 vaga"">3 quartos', '67m²', '1 vaga']"
R$ 529.000;Apartamento para venda no L'Acqua de 119m²  por R$ 529.000,00;16/01 às 20:07;Profissional;"['""4 quartos', '119m²', 'Condomínio: R$ 650', '2 vagas"">4 quartos', '119m²', 'Condomínio: R$ 650', '2 vagas']"
R$ 560.000;Apartamento 04 quartos sendo 03 suites Capim Macio Natal RN;16/01 às 20:04;Profissional;"['""4 quartos', '108m²"">4 quartos', '108m²']"
R$ 289.100;Alvorada Residencial;16/01 às 19:58;Profissional;"['""3 quartos', '75m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '75m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 170.000;Apartamento à venda com 2 dormitórios em Zona norte, Natal cod:820951;16/01 às 19:27;Profissional;"['""2 quartos', '53m²', 'Condomínio: R$ 245', '1 vaga"">2 quartos', '53m²', 'Condomínio: R$ 245', '1 vaga']"
R$ 450.000;Apartamento super bem localizado em Lagoa Nova, Ed. Terra Santa Cruz;16/01 às 19:22;Profissional;"['""4 quartos', '130m²', 'Condomínio: R$ 800', '2 vagas"">4 quartos', '130m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 525.000;Apartamento à venda, 3 quartos, 1 suíte, 2 vagas, Petrópolis - Natal/RN;16/01 às 19:16;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 400', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 400', '2 vagas']"
R$ 200.000;Apartamento 02 dormitorios Ponta Negra Natal RN;16/01 às 19:09;Profissional;"['""2 quartos', '0m²', '1 vaga"">2 quartos', '0m²', '1 vaga']"
R$ 650.000;Apartamento com 171 m2 em Lagoa Nova;16/01 às 19:00;Profissional;"['""4 quartos', '171m²', 'Condomínio: R$ 1.700', '3 vagas"">4 quartos', '171m²', 'Condomínio: R$ 1.700', '3 vagas']"
R$ 135.000;Apartamento à venda com 2 dormitórios em Neópolis, Natal cod:821609;16/01 às 18:49;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 280', '1 vaga"">2 quartos', '54m²', 'Condomínio: R$ 280', '1 vaga']"
R$ 180.000;Flat 35m² à venda no melhor de Ponta Negra;16/01 às 18:48;Profissional;"['""1 quarto', '35m²', 'Condomínio: R$ 372"">1 quarto', '35m²', 'Condomínio: R$ 372']"
R$ 148.000;Apartamento à venda com 2 dormitórios em Zona norte, Natal cod:820946;16/01 às 18:47;Profissional;"['""2 quartos', '48m²', 'Condomínio: R$ 245', '1 vaga"">2 quartos', '48m²', 'Condomínio: R$ 245', '1 vaga']"
R$ 185.000;Apartamento no Apple Flat. Ótimo para investimento. Á vista!;16/01 às 18:38;Profissional;"['""1 quarto', '37m²', '1 vaga"">1 quarto', '37m²', '1 vaga']"
R$ 248.000;Lindo apto p negra próximo da praia (souza ) ;16/01 às 18:24;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 600"">2 quartos', '56m²', 'Condomínio: R$ 600']"
R$ 475.000;Apartamento com 3 dormitórios à venda por R$ 475.000 - Tirol - Natal/RN;16/01 às 18:24;Profissional;"['""3 quartos', 'Condomínio: R$ 810', '1 vaga"">3 quartos', 'Condomínio: R$ 810', '1 vaga']"
R$ 210.000;Apartamento à venda com 3 dormitórios em Barro vermelho, Natal cod:8434;16/01 às 18:21;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '100m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 240.000;Edificio Girona, 2/4, com suíte, Ponta Negra, Natal/RN;16/01 às 18:21;Profissional;"['""2 quartos', '59m²', 'Condomínio: R$ 0', '1 vaga"">2 quartos', '59m²', 'Condomínio: R$ 0', '1 vaga']"
R$ 340.000;Apartamento à venda com 3 dormitórios em Barro vermelho, Natal cod:770552;16/01 às 18:00;Profissional;"['""3 quartos', '147m²', 'Condomínio: R$ 750', '2 vagas"">3 quartos', '147m²', 'Condomínio: R$ 750', '2 vagas']"
R$ 450.000;Apartamento à venda com 3 dormitórios em Petrópolis, Natal cod:822334;16/01 às 17:59;Profissional;"['""3 quartos', 'Condomínio: R$ 1.100', '2 vagas"">3 quartos', 'Condomínio: R$ 1.100', '2 vagas']"
R$ 120.000;Fjxbfbxgnudjy;16/01 às 17:58;16/01 às 17:58<!-- --> ;"['""2 quartos', '56m²', 'Condomínio: R$ 260', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 260', '1 vaga']"
R$ 330.000;Cobertura Duplex Edificio Stylus - 3 quartos - Em frente ao Midway;16/01 às 17:56;Profissional;"['""3 quartos', '169m²', 'Condomínio: R$ 600', '2 vagas"">3 quartos', '169m²', 'Condomínio: R$ 600', '2 vagas']"
R$ 270.000;Condomínio Club Paradise Village em Capim Macio;16/01 às 17:42;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 312', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 312', '1 vaga']"
R$ 264.000;Apartamento novo no Tirol - Próximo a Prudente de Morais;16/01 às 17:41;Profissional;"['""2 quartos', '55m²', '1 vaga"">2 quartos', '55m²', '1 vaga']"
R$ 450.000;Apartamento pra vender;16/01 às 17:38;16/01 às 17:38<!-- --> ;"['""3 quartos', '165m²', 'Condomínio: R$ 850', '2 vagas"">3 quartos', '165m²', 'Condomínio: R$ 850', '2 vagas']"
R$ 120.000;Apartamento 2/4 sendo uma suíte 120mil;16/01 às 16:54;Profissional;"['""2 quartos', '51m²', '1 vaga"">2 quartos', '51m²', '1 vaga']"
R$ 120.000;Apartamento com 2 dormitórios à venda, 55 m² por R$ 120.000 - Planalto - Natal/RN;16/01 às 16:31;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 240', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 240', '1 vaga']"
R$ 585.000;Vende se Apartamento enfrente a UNP Petrópolis;16/01 às 16:30;16/01 às 16:30<!-- --> ;"['""4 quartos', '167m²', 'Condomínio: R$ 792', '2 vagas"">4 quartos', '167m²', 'Condomínio: R$ 792', '2 vagas']"
R$ 139.900;Oportunidade venda ou repasse Cond Thisaliah.;16/01 às 16:21;Profissional;"['""2 quartos', '1 vaga"">2 quartos', '1 vaga']"
R$ 130.000;Vendo apartamento em Ponta Negra Natal;16/01 às 16:10;16/01 às 16:10<!-- --> ;"['""1 quarto', '43m²', '1 vaga"">1 quarto', '43m²', '1 vaga']"
R$ 115.021;Apartamento no Planalto 2/4 - 43m²/64m² - Jardim Privativo - Documentação Grátis;16/01 às 15:51;Profissional;"['""2 quartos', '44m²"">2 quartos', '44m²']"
R$ 1.200.000;Apartamento Duplex com 4 dormitórios à venda, 400 m² por R$ 1.200.000 - Barro Vermelho - N;16/01 às 14:51;Profissional;"['""4 quartos', '400m²', 'Condomínio: R$ 1.300', '3 vagas"">4 quartos', '400m²', 'Condomínio: R$ 1.300', '3 vagas']"
R$ 360.000;Excelente apartamento em Tambaú ;16/01 às 14:25;16/01 às 14:25<!-- --> ;"['""2 quartos', '68m²', 'Condomínio: R$ 557', '1 vaga"">2 quartos', '68m²', 'Condomínio: R$ 557', '1 vaga']"
R$ 440.000;Belíssimo apartamento em Lagoa Nova ;16/01 às 14:21;Profissional;"['""3 quartos', '109m²', 'Condomínio: R$ 750', '2 vagas"">3 quartos', '109m²', 'Condomínio: R$ 750', '2 vagas']"
R$ 115.009;Apartamento no Planalto 2/4 - 43m²/64m² - Jardim Privativo - Documentação Grátis;16/01 às 14:11;Profissional;"['""2 quartos', '44m²"">2 quartos', '44m²']"
R$ 125.005;Apartamento Pronto no Planalto - 2/4 Suíte - 57m² - Documentação Grátis;16/01 às 14:11;Profissional;"['""2 quartos', '57m²"">2 quartos', '57m²']"
R$ 640.000;Apartamento com 4 dormitórios à venda, 217 m² por R$ 640.000,00 - Capim Macio - Natal/RN;16/01 às 13:59;Profissional;"['""4 quartos', '217m²', 'Condomínio: R$ 1.100', '2 vagas"">4 quartos', '217m²', 'Condomínio: R$ 1.100', '2 vagas']"
R$ 355.000;Notável Apartamento 2 Quartos Sendo 1 Suíte Neópolis Natal RN;16/01 às 13:35;Profissional;"['""2 quartos', '67m²', 'Condomínio: R$ 365', '2 vagas"">2 quartos', '67m²', 'Condomínio: R$ 365', '2 vagas']"
R$ 255.000;Paradise Villade Capim Macio;16/01 às 13:28;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 0', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 0', '1 vaga']"
R$ 210.000;Flat de alto padrão em Ponta Negra;16/01 às 13:25;Profissional;"['""1 quarto', '38m²', 'Condomínio: R$ 1.300', '1 vaga"">1 quarto', '38m²', 'Condomínio: R$ 1.300', '1 vaga']"
R$ 850.000;Cobertura em Lagoa Nova 116m²|Natal RN - Residencial Quartier;16/01 às 13:16;Profissional;"['""3 quartos', '160m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '160m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 3.000;Condomínio Praia de Ponta Negra - Entrada Facilitada;16/01 às 13:01;Profissional;"['""2 quartos', '46m²', '1 vaga"">2 quartos', '46m²', '1 vaga']"
R$ 360.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:10796;16/01 às 12:50;Profissional;"['""3 quartos', '141m²', 'Condomínio: R$ 1.200', '2 vagas"">3 quartos', '141m²', 'Condomínio: R$ 1.200', '2 vagas']"
R$ 490.000;Lagoa Nova-Cond. Localização Privilegiada- 119m2 - Andar Alto R$490 Mil Reais;16/01 às 12:49;Profissional;"['""4 quartos', '119m²', 'Condomínio: R$ 800', '2 vagas"">4 quartos', '119m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 154.000;Oasis, Apartamento, 2 e 3 quartos c/ suíte;16/01 às 12:47;Profissional;"['""2 quartos', '45m²', '1 vaga"">2 quartos', '45m²', '1 vaga']"
R$ 153.000;Lançamento em Cidade Satélite / Pitimbu;16/01 às 12:17;Profissional;"['""2 quartos', '42m²', '1 vaga"">2 quartos', '42m²', '1 vaga']"
R$ 310.000;Apartamento em Ponta Negra - 3/4 - 67m² - Áurea Guedes - Documentação Grátis;16/01 às 12:16;Profissional;"['""3 quartos', '67m²"">3 quartos', '67m²']"
R$ 669.000;Excelente flat 1 quarto em Ponta Negra com vista para praia;16/01 às 11:38;Profissional;"['""1 quarto', '80m²', '1 vaga"">1 quarto', '80m²', '1 vaga']"
R$ 690.000;Condomínio Residencial Royal Palms - 03 suítes;16/01 às 10:47;Profissional;"['""3 quartos', '141m²', '2 vagas"">3 quartos', '141m²', '2 vagas']"
R$ 830.000;Residencial Mirante Serra de Martins - 3 suites - Lagoa Nova - Novo;16/01 às 10:40;Profissional;"['""3 quartos', '136m²', 'Condomínio: R$ 850', '3 vagas"">3 quartos', '136m²', 'Condomínio: R$ 850', '3 vagas']"
R$ 680.000;Grandão e Desocupado! Mude já!!!;16/01 às 10:03;16/01 às 10:03<!-- --> ;"['""3 quartos', '212m²', 'Condomínio: R$ 1.300', '2 vagas"">3 quartos', '212m²', 'Condomínio: R$ 1.300', '2 vagas']"
R$ 130.000;Oportunidade Mrv!!! Conheça o Norte boulevard!;16/01 às 10:03;Profissional;"['""2 quartos', '42m²', 'Condomínio: R$ 0', '1 vaga"">2 quartos', '42m²', 'Condomínio: R$ 0', '1 vaga']"
R$ 600.000;Apartamento à venda em Tirol/RN | 120m² | 3/4 sendo 3 suites, uma dependencia;16/01 às 10:01;Profissional;"['""3 quartos', '120m²', '2 vagas"">3 quartos', '120m²', '2 vagas']"
R$ 599.000;Lindo apartamento em Tirol  ;16/01 às 09:49;Profissional;"['""3 quartos', '112m²', 'Condomínio: R$ 1.000', '2 vagas"">3 quartos', '112m²', 'Condomínio: R$ 1.000', '2 vagas']"
R$ 319.900;Ponta Negra - Dois quartos sendo uma suite (Estrela do Atlântico);16/01 às 09:42;Profissional;"['""2 quartos', '61m²', 'Condomínio: R$ 379', '1 vaga"">2 quartos', '61m²', 'Condomínio: R$ 379', '1 vaga']"
R$ 690.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:10977;16/01 às 09:38;Profissional;"['""3 quartos', '239m²', 'Condomínio: R$ 1.750', '3 vagas"">3 quartos', '239m²', 'Condomínio: R$ 1.750', '3 vagas']"
R$ 1.100.000;Cobertura em Lagoa Nova;16/01 às 09:25;Profissional;"['""4 quartos', 'Condomínio: R$ 1.450', '4 vagas"">4 quartos', 'Condomínio: R$ 1.450', '4 vagas']"
R$ 1.200.000;Última unidade Firenze / Oportunidade;16/01 às 09:24;Profissional;"['""4 quartos', '164m²', 'Condomínio: R$ 980', '3 vagas"">4 quartos', '164m²', 'Condomínio: R$ 980', '3 vagas']"
R$ 360.000;Residencial Alvorada;16/01 às 09:24;Profissional;"['""3 quartos', '75m²', '2 vagas"">3 quartos', '75m²', '2 vagas']"
R$ 900.000;Belíssimo Residencial Alice Grilo;16/01 às 09:21;Profissional;"['""3 quartos', '164m²', 'Condomínio: R$ 500', '3 vagas"">3 quartos', '164m²', 'Condomínio: R$ 500', '3 vagas']"
R$ 220.000;Residencial Candelária;16/01 às 09:21;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 395', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 395', '1 vaga']"
R$ 710.000;Belíssimo Saint Rafqa;16/01 às 09:21;Profissional;"['""4 quartos', '120m²', 'Condomínio: R$ 680', '2 vagas"">4 quartos', '120m²', 'Condomínio: R$ 680', '2 vagas']"
R$ 501.000;Lindo apartamento em Lagoa Nova. ;16/01 às 09:20;Profissional;"['""3 quartos', '87m²', 'Condomínio: R$ 5', '2 vagas"">3 quartos', '87m²', 'Condomínio: R$ 5', '2 vagas']"
R$ 650.000;Residencial Maria Emiliana Mello;16/01 às 09:20;Profissional;"['""3 quartos', '120m²', 'Condomínio: R$ 850', '3 vagas"">3 quartos', '120m²', 'Condomínio: R$ 850', '3 vagas']"
R$ 590.000;Belíssimo apartamento em Candelária;16/01 às 09:18;Profissional;"['""2 quartos', '109m²', 'Condomínio: R$ 855', '3 vagas"">2 quartos', '109m²', 'Condomínio: R$ 855', '3 vagas']"
R$ 340.000;Apartamento em Lagoa Nova(baixou);16/01 às 09:18;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 580', '2 vagas"">3 quartos', '100m²', 'Condomínio: R$ 580', '2 vagas']"
R$ 580.000;Residencial Carlos Gondim em Tirol;16/01 às 09:16;Profissional;"['""3 quartos', '112m²', 'Condomínio: R$ 635', '2 vagas"">3 quartos', '112m²', 'Condomínio: R$ 635', '2 vagas']"
R$ 950.000;Sports Gardens ( oportunidade);16/01 às 09:16;Profissional;"['""3 quartos', '136m²', '3 vagas"">3 quartos', '136m²', '3 vagas']"
R$ 350.000;Apartamento em Candelária;16/01 às 09:15;Profissional;"['""3 quartos', '77m²', 'Condomínio: R$ 860', '2 vagas"">3 quartos', '77m²', 'Condomínio: R$ 860', '2 vagas']"
R$ 330.000;Residencial Ubatuba ( baixou o preço);16/01 às 09:15;Profissional;"['""3 quartos', '105m²', 'Condomínio: R$ 800', '2 vagas"">3 quartos', '105m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 350.000;Apartamento em Candelária 3/4;16/01 às 09:15;Profissional;"['""3 quartos', '140m²', 'Condomínio: R$ 720', '2 vagas"">3 quartos', '140m²', 'Condomínio: R$ 720', '2 vagas']"
R$ 250.000;Apartamento em Tirol/Oportunidade ;16/01 às 09:07;Profissional;"['""3 quartos', '85m²', 'Condomínio: R$ 780', '1 vaga"">3 quartos', '85m²', 'Condomínio: R$ 780', '1 vaga']"
