valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 500.000;Condomínio Residencial Ícaro,  no Tirol,  à venda;Hoje às 11:42;Hoje às 11:42<!-- --> ;"['""4 quartos', '159m²', 'Condomínio: R$ 1.200', '2 vagas"">4 quartos', '159m²', 'Condomínio: R$ 1.200', '2 vagas']"
R$ 1.600;Òtimo apto;Hoje às 11:41;Hoje às 11:41<!-- --> ;"['""2 quartos', '60m²', 'Condomínio: R$ 600', '1 vaga"">2 quartos', '60m²', 'Condomínio: R$ 600', '1 vaga']"
R$ 380.000;Apartamento 3 quartos em Capim Macio Paradise Gardens;Hoje às 11:27;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 980', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 980', '2 vagas']"
R$ 135.002;Apartamento no Planalto em Construção - 2 e 3/4 - Parque do Planalto;Hoje às 11:08;Profissional;"['""2 quartos', '48m²"">2 quartos', '48m²']"
R$ 900.000;Apartamento 1 por andar no coração de Petropolis e com vista panoramica;Hoje às 10:58;Profissional;"['""4 quartos', '264m²', 'Condomínio: R$ 1.500', '4 vagas"">4 quartos', '264m²', 'Condomínio: R$ 1.500', '4 vagas']"
R$ 220.000;Apartamento em Neópolis - 2/4 Suíte - 57m² - Auguste Lumière;Hoje às 10:45;Profissional;"['""2 quartos', '57m²"">2 quartos', '57m²']"
R$ 320.000;Apartamento de 3 quartos no Lacqua Condomínio Club, 72 m2 - R$320.000,00;Hoje às 10:40;Profissional;"['""3 quartos', '72m²', 'Condomínio: R$ 384', '1 vaga"">3 quartos', '72m²', 'Condomínio: R$ 384', '1 vaga']"
R$ 399.900;Residencial Marie Galante, apartamento de 3 quartos com 100 m2 - R$399.900,00;Hoje às 10:32;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 600', '3 vagas"">3 quartos', '100m²', 'Condomínio: R$ 600', '3 vagas']"
R$ 330.000;Apartamento no Natture, 3 quartos - 76m2, - R$330.000,00;Hoje às 10:30;Profissional;"['""3 quartos', '76m²', 'Condomínio: R$ 446', '2 vagas"">3 quartos', '76m²', 'Condomínio: R$ 446', '2 vagas']"
R$ 645.000;Apartamento à venda no Tirol com 117m² - 3 suítes - 3 vagas soltas de garagem!;Hoje às 10:28;Profissional;"['""3 quartos', '117m²', 'Condomínio: R$ 795', '3 vagas"">3 quartos', '117m²', 'Condomínio: R$ 795', '3 vagas']"
